Taxon,Author,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Subclass,Super-order,Order,Sub-order,Super-family,Family,Subfamily,Origin,Status,Reporting,Documented in iNaturalist,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,LGL,First Documented,Documenter,iNaturalist Link,Notes,iNaturalist Taxon ID,Stats Code
Ophrydium versatile,Müller,a colonial microscopic single-celled protozoan,Chromista,Ciliophora,Intramacronucleata,,Oligohymenophorea,Peritrichia,,Sessilida,,,Ophrydiidae,,,genus not in CDC records,new 2020,documented,,,,,,44078,judithofsquamish,https://www.inaturalist.org/observations/71512859,,364055
Veronica officinalis,L.,heath speedwell,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,exotic,SNA (2001),new 2017,documented,,,,,,44353,judithofsquamish,https://www.inaturalist.org/observations/82218460,,129020
Veronica scutellata,L.,marsh speedwell,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,native,S5 (2015) ,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43704,benkeen,https://www.inaturalist.org/observations/31649668, ,61112
Veronica serpyllifolia,L.,thyme-leaved speedwell,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,exotic,SNA (2000),new 2018,documented,,,,,,43284,judithofsquamish,https://www.inaturalist.org/observations/14191672,,55749
Veronica wormskjoldii,Roem. & Schult. ,american alpine speedwell,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,native,see notes S5 (Apr 2019),new 2017,documented,,,,,,42983,judithofsquamish,https://www.inaturalist.org/observations/8849452,CDC: V. nutans Bongard,61145
Liriodendron tulipifera ,L.,tuliptree,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Magnoliales,,,Magnoliaceae,,exotic,"not in CDC records, see 'notes'",reported,undocumented,28717,John Pinder-Moss,UBC,UBC: V166523,,,,,"UBC:  Gambier Island Camp Artaban, likely PLANTED",53582
Euphorbia characias,L.,Mediterranean spurge,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Euphorbiaceae,,exotic,not in CDC records,new 2018,documented,,,,,,43596,dave328,https://www.inaturalist.org/observations/24942210,,181594
Euphorbia cyparissias,L.,cypress spurge,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Euphorbiaceae,,exotic,SNA (2001),new 2018,documented,,,,,,43232,judithofsquamish,https://www.inaturalist.org/observations/12437175,,55766
Euphorbia glyptosperma   ,(Engelm.) Small,ribseed sandmat/corrugate-seed broomspurge,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Euphorbiaceae,,native,S4S5,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,204318
Euphorbia myrsinites,L.,donkey tail,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Euphorbiaceae,,exotic,SNA (2019),new 2019,documented,,,,,,44162,benkeen,https://www.inaturalist.org/observations/65710356,,82511
Euphorbia peplus,L.,petty spurge,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Euphorbiaceae,,exotic,SNA (2001),new 2018,documented,,,,,,43962,benkeen,https://www.inaturalist.org/observations/45647497,,57036
Hypericum anagalloides,Cham. & Schltdl.,bog st. john's-wort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Hypericaceae,,native,S4 (2015) ,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",44430,benkeen,https://www.inaturalist.org/observations/92178337, ,61032
Hypericum androsaemum ,L.,tutsan,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Hypericaceae,,exotic,SNA (2000),confirmed,documented,33453,Frank Lomer,UBC,UBC: V203934,,44126,benkeen,https://www.inaturalist.org/observations/63287362,UBC:  Horseshoe Bay,77480
Hypericum calycinum,L.,rose-of-sharon,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Hypericaceae,,exotic,SNA (2012),new 2018,documented,,,,,,44024,benkeen,https://www.inaturalist.org/observations/52838607,,77481
Hypericum maculatum,Crantz,imperforate st john's-wort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Hypericaceae,,exotic,SNA (2019),new 2020,documented,,,,,,44034,benkeen,https://www.inaturalist.org/observations/54019852,,163978
Hypericum perforatum,L.,common st. john's-wort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Hypericaceae,,exotic,SNA (2001),new 2018,documented,,,,,,43666,benkeen,https://www.inaturalist.org/observations/29202910,,56077
Hypericum scouleri,Hook.,western St. John's-wort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Hypericaceae,,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,77484
Linum usitatissimum,L.,common flax,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Linaceae,Linoideae,exotic,SNA (2019),new 2020,documented,,,,,,44109,benkeen,https://www.inaturalist.org/observations/61829180,,51306
Populus balsamifera,L.,balsam poplar,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Salicaceae,,native,S5 (2019),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",44352,benkeen,https://www.inaturalist.org/observations/81813544,iNat: needs i.d.,54838
Populus tremuloides,Michx.,trembling aspen,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Salicaceae,,native,S5 (2015) ,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",42140,judithofsquamish,http://www.inaturalist.org/observations/4403259, ,54840
Populus trichocarpa,L. (Torr. & A. Gray ex Hook.) Brayshaw,black cottonwood,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Salicaceae,,native,S5 (2015),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",42070,judithofsquamish,https://www.inaturalist.org/observations/5991879, ,78699
Salix arctica ,Pall.,arctic willow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Salicaceae,,native,S5 (2015) ,reported,undocumented,1912-08-00,John Davidson,UBC,UBC: V62886,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC:  Garibaldi,67799
Salix commutata ,Bebb,undergreen willow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Salicaceae,,native,S5 (2015),confirmed,documented,1913-08-00,John Davidson,UBC,UBC: V62895,"LGL Limited, Environmental Research Associates, Sidney, BC",43341,judithofsquamish,https://www.inaturalist.org/observations/31387011,UBC:  Garibaldi,168327
Salix hookeriana ,Barratt ex Hook.,coastal willow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Salicaceae,,native,S5 (2015),confirmed,documented,36363,Frank Lomer,UBC,UBC: V234449,"LGL Limited, Environmental Research Associates, Sidney, BC",44288,baselineone,https://www.inaturalist.org/observations/72735367,,78941
Salix lasiandra lasiandra,Muhl. (Benth.) A.E. Murray,pacific willow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Salicaceae,,native,S5 (2000) ,confirmed,documented,0000-00-00,BC Parks,Baynes Island Ecological Reserve online 'detailed description',,"LGL Limited, Environmental Research Associates, Sidney, BC", , , , ,81358
Salix nivalis ,Hook.,snow willow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Salicaceae,,native,S5 (2015),reported,undocumented,21391,Vernon C. Brink,UBC,UBC: V120348,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC:  Garibaldi PP Cinder Cone,78948
Salix scouleriana,Barratt ex Hook. ,scouler's willow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Salicaceae,,native,S5 (2015),confirmed,documented,4550,John Davidson,UBC,UBC: V62879,"LGL Limited, Environmental Research Associates, Sidney, BC",42918,judithofsquamish,https://www.inaturalist.org/observations/8735829, ,71076
Salix sitchensis,Sanson ex Bong. ,sitka willow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Salicaceae,,native,S5 (2015) ,confirmed,documented,1978-00-00,Brenda Storey ,RBCM,V147620,"LGL Limited, Environmental Research Associates, Sidney, BC",44345,judithofsquamish,https://www.inaturalist.org/observations/80997042, ,61100
Viola adunca var. adunca,Sm.,early blue violet,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Violaceae,,native,S5 (2015),reported,undocumented,5230,W. Taylor ,UBC,UBC: V57381,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC:  Anvil Island,53328
Viola glabella,Nutt.,stream violet,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Violaceae,,native,S4S5 (2015),confirmed,documented,27187,Charles E. Beil ,UBC,UBC: V176122,"LGL Limited, Environmental Research Associates, Sidney, BC",43574,judithofsquamish,https://www.inaturalist.org/observations/22739840, ,71113
Viola nephrophylla ,Greene,northern bog violet,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Violaceae,,native,S4 (2015),reported,undocumented,4900,F. Perry ,UBC,UBC: V80672,,,,,UBC:  Gambier Id. (herbarium record updated from V. sororia which is native to Eastern NA),79513
Viola orbiculata,Gayer ex Holz.,round-leaved violet,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Violaceae,,native,S5,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,71112
Viola palustris,L.,alpine marsh violet,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Violaceae,,native,S5? (2015) ,confirmed,documented,27187,Charles E. Beil,UBC,UBC: V176179,,44016,citizen1,https://www.inaturalist.org/observations/51967573,,79514
Viola sempervirens,Greene,redwood violet,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Violaceae,,native,S4 (2015) ,confirmed,documented,21265,Katherine I. Beamish,UBC,UBC: V72387,"LGL Limited, Environmental Research Associates, Sidney, BC",43960,chloe_and_trevor,https://www.inaturalist.org/observations/45683581, ,55342
Malva alcea,L.,Greater Musk-mallow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malvales,,,Malvaceae,Malvoideae,exotic,SNA,new 2021,documented,,,,,,44443,benkeen,https://www.inaturalist.org/observations/93645939,,146876
Malva moschata,L.,musk mallow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malvales,,,Malvaceae,Malvoideae,exotic,SNA (2019),new 2020,documented,,,,,,44386,caschaefer,https://www.inaturalist.org/observations/86748050,,55977
Malva neglecta,Wallr.,dwarf mallow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malvales,,,Malvaceae,Malvoideae,exotic,SNA (2019),new 2021,documented,,,,,,44329,kristinop,https://www.inaturalist.org/observations/78656020,,77952
Sidalcea hendersonii,S. Watson,henderson's checker-mallow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malvales,,,Malvaceae,Malvoideae,native,S3 (2015) ,confirmed,documented,41860,Anne Anderson,UBC,UBC: V244534,"LGL Limited, Environmental Research Associates, Sidney, BC",44436,chloe_and_trevor,https://www.inaturalist.org/observations/93188619, ,168942
Chamaenerion angustifolium,(L.) Scop.,fireweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,Onagraceae,,native,S5 (2019),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",44084,taylor_justason,https://www.inaturalist.org/observations/59237521, ,564969
Chamaenerion latifolium,(L.) Sweet,dwarf fireweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,Onagraceae,,native,S5 (2015) ,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",44355,gwenlh,https://www.inaturalist.org/observations/82624699,historical record Chamerion latifolium ,564970
Circaea alpina,L.,alpine enchanter's-nightshade,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,Onagraceae,,native,S4 (2001),confirmed,documented,27187,Charles E. Beil,UBC,UBC: V176175,"LGL Limited, Environmental Research Associates, Sidney, BC",44017,benkeen,https://www.inaturalist.org/observations/52090024, ,76342
Circaea alpina subsp alpina,L.,alpine enchanter's-nightshade,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,Onagraceae,,native,S5 (2020),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,235259
Circaea alpina subsp pacifica,(Aschers. & Magnus) Raven,alpine enchanter's-nightshade,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,Onagraceae,,native,S5 (2020),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,79729
Daphne laureola,L.,spurge-laurel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malvales,,,Thymelaeaceae,,exotic,SNA (2001),confirmed,documented,38882,Peter F. Zika,WTU,WTU: 365029,,44266,maplerice,https://www.inaturalist.org/observations/71349786,,127391
Epilobium anagallidifolium,Lam.,pimpernel willowherb,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,Onagraceae,,native,S5 (2015),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",44085,judithofsquamish,https://www.inaturalist.org/observations/59531542, ,76826
Epilobium brachycarpum,C. Presl ,panicled willowherb,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,Onagraceae,,native,S5 (2019),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43714,benkeen,https://www.inaturalist.org/observations/32251436, ,52971
Epilobium ciliatum,Raf.,fringed willowherb,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,Onagraceae,,native,S5 (2000) ? depends which subsp.,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",44040,gwenlh,https://www.inaturalist.org/observations/70435770, ,53050
Epilobium clavatum  ,Trelease,club-fruited willowherb,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,Onagraceae,,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,76828
Epilobium hornemannii,Rchb.,hornemann's willowherb,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,Onagraceae,,native,S4 (2001),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43302,judithofsquamish,https://www.inaturalist.org/observations/14700094, ,76832
Epilobium hornemannii subsp behringianum,(Hausskn.) Hoch & Raven,hornemann's willowherb,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,Onagraceae,,native,SU (2020),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"? Because E-Flora describes this subsp. as rare, found only on Haida Gwaii",235814
Epilobium hornemannii subsp hornemannii  ,Rchb.,hornemann's willowherb,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,Onagraceae,,native,S5 (2020),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,E-Flora describes this subsp. ss common along the Coast,79829
Epilobium lactiflorum,Hausskn.,white-flowered willowherb,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,Onagraceae,,native,S5,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,76834
Epilobium leptocarpum,Hausskn.,small-fruited willowherb,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,Onagraceae,,native,S4S5,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"? E-Flora describes this sp as rare throughout BC, with montane to alpine habitat",162362
Epilobium luteum,Pursh,yellow willowherb,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,Onagraceae,,native,S5 (2015),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",42983,judithofsquamish,https://www.inaturalist.org/observations/8897494, ,76836
Epilobium minutum ,Lindl. ex Lehm.,little willowherb,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,Onagraceae,,native,S5 (2015) ,reported,undocumented,1897-05-00,Albert J. Hill,UBC,UBC: V26320,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC:  Bowen Island,57150
Epilobium obscurum ,Schreb.,short-fruited willowherb,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,Onagraceae,,exotic,SNA (2007),reported,undocumented,34881,Frank Lomer,UBC,UBC: V224939,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC:  West Vancouver Whytecliff Park,162366
Lythrum salicaria,L.,purple loosestrife,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,Lythraceae,,exotic,SNA (2001),new 2018,documented,,,,,,43304,judithofsquamish,https://www.inaturalist.org/observations/14699261, ,61321
Oenothera biennis,L.,common evening-primrose,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,Onagraceae,,native,SNA (2001),new 2017,documented,,,,,,44033,gwenlh,https://www.inaturalist.org/observations/55992429,,62207
Oenothera glazioviana,Micheli,Large-flowered Evening-primrose,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,Onagraceae,,exotic,SNA (2019),new 2021,documented,,,,,,44368,eyungwirth,https://www.inaturalist.org/observations/83959508,,62208
Brasenia schreberi,J.F. Gmel.,watershield,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Nymphaeales,,,Cabombaceae,,native,S5 (2015),new 2018,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43634,judithofsquamish,https://www.inaturalist.org/observations/27471813, ,75867
Nuphar polysepala,Engelm (Engelm.) E.O. Beal.,western yellow pond-lily,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Nymphaeales,,,Nymphaeaceae,,native,S5 (2000),confirmed,documented,4957,John Davidson ,UBC,UBC: V25067,"LGL Limited, Environmental Research Associates, Sidney, BC",44347,roslynmohr,https://www.inaturalist.org/observations/81333657,historical record Nuphar lutea subsp. polysepala,78234
Nymphaea sp.,L.,water-lilies,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Nymphaeales,,,Nymphaeaceae,,,genus is in CDC records,new 2019,documented,,,,,,43646,breannawilson,https://www.inaturalist.org/observations/28087443,,51122
Oxalis corniculata,L.,creeping woodsorrel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Oxalidales,,,Oxalidaceae,,exotic,SNA (2019),new 2019,documented,,,,,,43990,gwenlh,https://www.inaturalist.org/observations/65990382, ,53168
Oxalis oregana,Nutt.,redwood sorrel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Oxalidales,,,Oxalidaceae,,native,S3 (2019),new 2019,documented,,,,,,44322,raduscurtescu,https://www.inaturalist.org/observations/77548607,,47757
Oxalis stricta,L.,upright yellow woodsorrel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Oxalidales,,,Oxalidaceae,,exotic,SNA (2019),new 2019,documented,,,,,,43664,benkeen,https://www.inaturalist.org/observations/29096203,,53183
Asarum caudatum,Lindl.,western wild ginger,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Piperales,,,Aristolochiaceae,,native,S5 (2015) ,confirmed,documented,41034,Paul Kroeger,UBC,UBC: V245578,"LGL Limited, Environmental Research Associates, Sidney, BC",43960,hillarywilliamson,https://www.inaturalist.org/observations/45442849, ,52858
Alopecurus geniculatus,Sibth. ex Steudel ,marsh foxtail,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,, ,Poales,,,Poaceae,,exotic,SNA (2000),reported ,undocumented,6005,John M. Macoun ,UBC,UBC: V: V000426,,,,,,71140
Achlys triphylla,(Sm.) DC.,vanilla leaf,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Berberidaceae,Berberidoideae,native,S5 (2019),new 2019,documented,,,,,,43596,kiahmunn,https://www.inaturalist.org/observations/34570113,,75263
Actaea rubra,(Alton) Willd.,red baneberry,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,native,S5 (2019),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43661,sea2skynaturebc,https://www.inaturalist.org/observations/28905028, ,49870
Anemone lyallii,Britt.,lyall's anemone,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,native,S4S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"lot of splitting here, haven't yet found the new name",0
Anemone parviflora ,Michx.,small-flower anemone,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,native,S5,reported ,undocumented,2014-08-00,F. Perry ,UBC,UBC: V238245,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,158365
